datum,containerNummer,container_afvaltype,lediging_24h_later,telling_sinds_lediging,telling
2019-04-16,014,PMD,0,69,14
2019-04-09,015,Papier,0,19,19
2019-04-10,015,Papier,1,37,18
2019-04-11,015,Papier,0,45,8
2019-04-12,015,Papier,0,55,10
2019-04-13,015,Papier,0,64,9
2019-04-14,015,Papier,0,72,8
2019-04-15,015,Papier,0,86,14
2019-04-16,015,Papier,0,101,15
2019-04-09,016,GFT,0,5,5
2019-04-10,016,GFT,0,18,13
2019-04-11,016,GFT,0,29,11
2019-04-12,016,GFT,0,34,5
2019-04-13,016,GFT,0,37,3
2019-04-14,016,GFT,1,46,9
2019-04-15,016,GFT,0,56,10
2019-04-16,016,GFT,0,73,17
2019-04-09,017,GFT,0,7,7
2019-04-11,017,GFT,1,21,16
2019-04-11,017,GFT,1,2,16
2019-04-12,017,GFT,1,6,4
2019-04-13,017,GFT,0,1,1
2019-04-09,019,Rest,0,6,6
2019-04-10,019,Rest,0,11,5
2019-04-11,019,Rest,1,16,5
2019-04-12,019,Rest,0,22,6
2019-04-13,019,Rest,0,8,8
2019-04-14,019,Rest,1,17,9
2019-04-15,019,Rest,0,25,6
2019-04-15,019,Rest,0,20,6
2019-04-16,019,Rest,0,40,15
2019-04-09,020,Papier,0,1,1
2019-04-11,020,Papier,0,2,4
2019-04-12,020,Papier,0,5,3
2019-04-13,020,Papier,1,9,4
2019-04-14,020,Papier,0,10,1
2019-04-15,020,Papier,0,2,1
2019-04-16,020,Papier,0,7,5
2019-04-09,021,PMD,0,3,3
2019-04-10,021,PMD,0,6,3
2019-04-11,021,PMD,0,10,4
2019-04-12,021,PMD,0,13,3
2019-04-13,021,PMD,0,20,7
2019-04-14,021,PMD,0,22,2
2019-04-15,021,PMD,0,24,2
2019-04-16,021,PMD,0,28,4
2019-04-09,023,Rest,0,3,3
2019-04-10,023,Rest,1,10,7
2019-04-11,023,Rest,0,15,5
2019-04-12,023,Rest,0,23,8
2019-04-13,023,Rest,0,26,3
2019-04-14,023,Rest,0,30,4
2019-04-15,023,Rest,0,37,7
2019-04-16,023,Rest,0,44,7
2019-04-09,024,Rest,0,5,8
2019-04-09,024,Rest,0,3,8
2019-04-10,024,Rest,0,13,10
2019-04-11,024,Rest,0,26,13
2019-04-12,024,Rest,0,36,10
2019-04-13,024,Rest,1,45,9
2019-04-14,024,Rest,0,46,8
2019-04-14,024,Rest,0,12,8
2019-04-15,024,Rest,0,23,11
2019-04-16,024,Rest,0,34,11
2019-04-09,025,GFT,0,3,3
2019-04-10,025,GFT,0,7,4
2019-04-11,025,GFT,0,13,6
2019-04-12,025,GFT,0,17,4
2019-04-13,025,GFT,0,21,4
2019-04-14,025,GFT,0,24,3
2019-04-15,025,GFT,0,34,10
2019-04-16,025,GFT,0,42,8
2019-04-09,026,Papier,0,1,1
2019-04-10,026,Papier,0,8,7
2019-04-11,026,Papier,0,14,6
2019-04-12,026,Papier,0,25,11
2019-04-13,026,Papier,0,29,4
2019-04-14,026,Papier,0,38,9
2019-04-15,026,Papier,1,46,8
2019-04-16,026,Papier,0,48,10
2019-04-16,026,Papier,0,8,10
2019-04-09,027,PMD,1,3,3
2019-04-10,027,PMD,0,8,5
2019-04-11,027,PMD,0,13,5
2019-04-12,027,PMD,0,19,6
2019-04-13,027,PMD,0,27,8
2019-04-14,027,PMD,0,30,3
2019-04-15,027,PMD,0,37,7
2019-04-16,027,PMD,0,47,10
2019-04-09,028,Rest,0,2,3
2019-04-09,028,Rest,0,1,3
2019-04-10,028,Rest,0,9,7
2019-04-11,028,Rest,0,16,7
2019-04-12,028,Rest,0,22,6
2019-04-13,028,Rest,0,25,3
2019-04-14,028,Rest,0,34,9
2019-04-15,028,Rest,1,43,9
2019-04-16,028,Rest,0,45,7
2019-04-16,028,Rest,0,6,7
2019-04-09,029,Rest,0,10,10
2019-04-10,029,Rest,0,20,10
2019-04-11,029,Rest,1,34,14
2019-04-12,029,Rest,0,45,11
2019-04-13,029,Rest,0,51,6
2019-04-14,029,Rest,0,61,10
2019-04-15,029,Rest,0,73,12
2019-04-16,029,Rest,0,79,6
2019-04-09,030,GFT,0,11,11
2019-04-10,030,GFT,0,14,3
2019-04-11,030,GFT,0,24,10
2019-04-12,030,GFT,0,26,2
2019-04-13,030,GFT,0,32,6
2019-04-14,030,GFT,0,39,7
2019-04-15,030,GFT,0,44,5
2019-04-16,030,GFT,0,54,10
2019-04-09,031,Papier,0,7,7
2019-04-10,031,Papier,0,13,6
2019-04-11,031,Papier,0,19,6
2019-04-12,031,Papier,0,30,11
2019-04-13,031,Papier,0,39,9
2019-04-14,031,Papier,1,48,9
2019-04-15,031,Papier,0,51,3
2019-04-16,031,Papier,0,59,8
2019-04-09,032,PMD,0,7,7
2019-04-10,032,PMD,0,16,9
2019-04-11,032,PMD,0,23,7
2019-04-12,032,PMD,0,28,5
2019-04-13,032,PMD,0,33,5
2019-04-14,032,PMD,0,40,7
2019-04-15,032,PMD,0,53,13
2019-04-16,032,PMD,0,57,4
2019-04-09,034,Rest,0,5,5
2019-04-10,034,Rest,0,9,4
2019-04-11,034,Rest,0,13,4
2019-04-12,034,Rest,0,18,5
2019-04-14,034,Rest,0,25,7
2019-04-15,034,Rest,0,32,7
2019-04-16,034,Rest,0,41,9
2019-04-09,035,Rest,0,13,13
2019-04-10,035,Rest,0,31,18
2019-04-11,035,Rest,0,44,13
2019-04-12,035,Rest,0,59,15
2019-04-13,035,Rest,0,77,18
2019-04-14,035,Rest,0,91,14
2019-04-15,035,Rest,0,102,11
2019-04-16,035,Rest,0,120,18
2019-04-09,036,GFT,0,12,12
2019-04-10,036,GFT,0,26,14
2019-04-11,036,GFT,0,33,7
2019-04-12,036,GFT,0,40,7
2019-04-13,036,GFT,0,49,9
2019-04-14,036,GFT,0,56,7
2019-04-15,036,GFT,0,63,7
2019-04-16,036,GFT,0,80,17
2019-04-09,037,Papier,0,8,8
2019-04-10,037,Papier,0,15,7
2019-04-11,037,Papier,1,24,9
2019-04-12,037,Papier,0,27,3
2019-04-13,037,Papier,0,36,9
2019-04-14,037,Papier,0,44,8
2019-04-15,037,Papier,0,53,9
2019-04-16,037,Papier,0,64,11
2019-04-09,038,PMD,0,13,13
2019-04-10,038,PMD,0,20,7
2019-04-11,038,PMD,1,26,6
2019-04-12,038,PMD,0,34,8
2019-04-13,038,PMD,0,46,12
2019-04-14,038,PMD,0,54,8
2019-04-15,038,PMD,0,67,13
2019-04-16,038,PMD,0,75,8
2019-04-09,039,Rest,0,5,5
2019-04-10,039,Rest,0,6,1
2019-04-11,039,Rest,0,10,4
2019-04-12,039,Rest,0,18,8
2019-04-13,039,Rest,0,25,7
2019-04-14,039,Rest,0,34,9
2019-04-15,039,Rest,0,37,3
2019-04-16,039,Rest,0,48,11
2019-04-09,040,Rest,0,7,7
2019-04-10,040,Rest,0,18,11
2019-04-11,040,Rest,0,33,15
2019-04-12,040,Rest,1,46,13
2019-04-13,040,Rest,0,53,7
2019-04-14,040,Rest,0,59,6
2019-04-15,040,Rest,0,70,11
2019-04-16,040,Rest,0,82,12
2019-04-09,041,GFT,0,6,7
2019-04-09,041,GFT,0,1,7
2019-04-10,041,GFT,0,9,3
2019-04-11,041,GFT,0,14,5
2019-04-12,041,GFT,0,20,6
2019-04-13,041,GFT,0,28,8
2019-04-14,041,GFT,0,33,5
2019-04-15,041,GFT,1,41,8
2019-04-16,041,GFT,0,9,8
2019-04-09,042,Papier,0,7,7
2019-04-10,042,Papier,1,14,7
2019-04-11,042,Papier,0,20,6
2019-04-12,042,Papier,0,35,15
2019-04-13,042,Papier,0,45,10
2019-04-14,042,Papier,0,50,5
2019-04-15,042,Papier,0,58,8
2019-04-16,042,Papier,0,66,8
2019-04-09,043,PMD,0,9,9
2019-04-10,043,PMD,0,18,9
2019-04-11,043,PMD,0,26,8
2019-04-12,043,PMD,0,32,6
2019-04-13,043,PMD,0,34,2
2019-04-14,043,PMD,0,37,3
2019-04-15,043,PMD,0,44,7
2019-04-16,043,PMD,0,52,8
2019-04-09,044,Rest,0,5,9
2019-04-09,044,Rest,0,4,9
2019-04-10,044,Rest,0,11,7
2019-04-11,044,Rest,0,22,11
2019-04-12,044,Rest,1,33,11
2019-04-13,044,Rest,0,12,7
2019-04-14,044,Rest,0,22,10
2019-04-15,044,Rest,0,30,8
2019-04-16,044,Rest,0,41,11
2019-04-09,045,PMD,0,5,5
2019-04-10,045,PMD,0,7,2
2019-04-11,045,PMD,0,11,4
2019-04-12,045,PMD,0,13,2
2019-04-13,045,PMD,0,18,5
2019-04-14,045,PMD,0,25,7
2019-04-15,045,PMD,0,28,3
2019-04-16,045,PMD,0,37,9
2019-04-09,046,Papier,0,14,14
2019-04-10,046,Papier,1,25,11
2019-04-11,046,Papier,0,14,14
2019-04-12,046,Papier,1,22,8
2019-04-13,046,Papier,0,28,5
2019-04-13,046,Papier,0,24,5
2019-04-14,046,Papier,0,43,15
2019-04-15,046,Papier,0,55,12
2019-04-16,046,Papier,0,63,8
2019-04-09,047,GFT,0,3,3
2019-04-10,047,GFT,0,8,5
2019-04-11,047,GFT,0,11,3
2019-04-12,047,GFT,0,16,5
2019-04-13,047,GFT,0,23,7
2019-04-14,047,GFT,0,25,2
2019-04-15,047,GFT,0,31,6
2019-04-16,047,GFT,0,38,7
2019-04-09,048,Rest,0,3,3
2019-04-10,048,Rest,0,11,8
2019-04-11,048,Rest,0,17,6
2019-04-12,048,Rest,0,23,6
2019-04-13,048,Rest,0,31,8
2019-04-14,048,Rest,0,40,9
2019-04-15,048,Rest,0,47,7
2019-04-16,048,Rest,0,55,8
2019-04-10,049,PMD,0,6,6
2019-04-11,049,PMD,0,12,6
2019-04-12,049,PMD,0,16,4
2019-04-13,049,PMD,0,22,6
2019-04-14,049,PMD,0,31,9
2019-04-15,049,PMD,0,37,6
2019-04-16,049,PMD,0,48,11
2019-04-09,050,GFT,0,7,7
2019-04-10,050,GFT,0,11,4
2019-04-11,050,GFT,0,20,9
2019-04-12,050,GFT,0,25,5
2019-04-13,050,GFT,0,26,1
2019-04-14,050,GFT,1,33,7
2019-04-15,050,GFT,0,35,2
2019-04-16,050,GFT,0,41,6
2019-04-09,051,Rest,0,7,12
2019-04-09,051,Rest,0,5,12
2019-04-10,051,Rest,0,18,11
2019-04-11,051,Rest,1,25,7
2019-04-12,051,Rest,0,30,12
2019-04-12,051,Rest,0,12,12
2019-04-13,051,Rest,0,19,7
2019-04-14,051,Rest,0,29,10
2019-04-15,051,Rest,0,32,3
2019-04-16,051,Rest,0,44,12
2019-04-09,052,Rest,0,11,11
2019-04-10,052,Rest,0,15,4
2019-04-11,052,Rest,0,26,11
2019-04-12,052,Rest,1,33,7
2019-04-13,052,Rest,0,36,3
2019-04-14,052,Rest,0,47,11
2019-04-15,052,Rest,0,55,8
2019-04-16,052,Rest,0,64,9
2019-04-09,053,Rest,0,7,7
2019-04-10,053,Rest,0,16,9
2019-04-11,053,Rest,0,27,11
2019-04-12,053,Rest,1,36,9
2019-04-13,053,Rest,0,47,11
2019-04-14,053,Rest,0,56,9
2019-04-15,053,Rest,0,64,8
2019-04-16,053,Rest,0,68,4
2019-04-09,054,GFT,0,9,9
2019-04-10,054,GFT,0,14,5
2019-04-11,054,GFT,0,25,11
2019-04-12,054,GFT,0,33,8
2019-04-13,054,GFT,0,40,7
2019-04-14,054,GFT,0,47,7
2019-04-15,054,GFT,0,58,11
2019-04-16,054,GFT,0,63,5
2019-04-09,055,Papier,0,11,11
2019-04-10,055,Papier,1,17,6
2019-04-11,055,Papier,0,26,9
2019-04-12,055,Papier,0,30,4
2019-04-13,055,Papier,0,36,6
2019-04-14,055,Papier,0,47,11
2019-04-15,055,Papier,0,55,8
2019-04-16,055,Papier,0,63,8
2019-04-09,056,PMD,0,4,4
2019-04-10,056,PMD,0,6,2
2019-04-11,056,PMD,0,14,8
2019-04-12,056,PMD,0,22,8
2019-04-13,056,PMD,0,28,6
2019-04-14,056,PMD,0,33,5
2019-04-15,056,PMD,0,38,5
2019-04-16,056,PMD,0,43,5
2019-04-09,058,Rest,0,4,4
2019-04-10,058,Rest,0,8,4
2019-04-11,058,Rest,0,11,3
2019-04-12,058,Rest,0,13,2
2019-04-13,058,Rest,0,16,3
2019-04-14,058,Rest,0,21,5
2019-04-15,058,Rest,0,24,3
2019-04-16,058,Rest,0,26,2
2019-04-09,059,Rest,0,5,5
2019-04-10,059,Rest,0,14,9
2019-04-11,059,Rest,0,19,5
2019-04-12,059,Rest,0,25,6
2019-04-13,059,Rest,0,29,4
2019-04-14,059,Rest,1,37,8
2019-04-15,059,Rest,0,40,3
2019-04-16,059,Rest,0,42,2
2019-04-09,060,GFT,0,7,7
2019-04-10,060,GFT,0,18,11
2019-04-11,060,GFT,0,29,11
2019-04-12,060,GFT,0,40,11
2019-04-13,060,GFT,0,48,8
2019-04-14,060,GFT,0,60,12
2019-04-15,060,GFT,0,66,6
2019-04-16,060,GFT,0,74,8
2019-04-09,061,GFT,0,7,7
2019-04-10,061,GFT,1,15,8
2019-04-11,061,GFT,0,24,9
2019-04-12,061,GFT,0,35,11
2019-04-13,061,GFT,0,38,3
2019-04-14,061,GFT,0,50,12
2019-04-15,061,GFT,0,62,12
2019-04-16,061,GFT,0,75,13
2019-04-09,062,PMD,0,1,1
2019-04-11,062,PMD,0,2,1
2019-04-13,062,PMD,0,4,2
2019-04-14,062,PMD,0,6,2
2019-04-15,062,PMD,0,10,4
2019-04-09,063,Papier,0,3,3
2019-04-10,063,Papier,0,7,4
2019-04-11,063,Papier,0,10,3
2019-04-12,063,Papier,0,18,8
2019-04-13,063,Papier,1,26,8
2019-04-14,063,Papier,0,30,4
2019-04-15,063,Papier,0,33,3
2019-04-16,063,Papier,0,37,4
2019-04-09,066,GFT,0,3,3
2019-04-10,066,GFT,0,7,4
2019-04-11,066,GFT,0,9,2
2019-04-12,066,GFT,0,14,5
2019-04-13,066,GFT,0,19,5
2019-04-14,066,GFT,0,20,1
2019-04-15,066,GFT,0,23,3
2019-04-16,066,GFT,0,26,3
2019-04-09,067,PMD,1,1,1
2019-04-12,067,PMD,0,3,2
2019-04-13,067,PMD,0,5,2
2019-04-14,067,PMD,0,6,1
2019-04-16,067,PMD,0,9,3
2019-04-09,068,Papier,0,2,2
2019-04-10,068,Papier,0,3,1
2019-04-11,068,Papier,0,5,2
2019-04-12,068,Papier,0,12,7
2019-04-13,068,Papier,0,13,1
2019-04-15,068,Papier,0,14,1
2019-04-16,068,Papier,0,16,2
2019-04-09,069,Rest,0,8,8
2019-04-10,069,Rest,0,11,3
2019-04-11,069,Rest,1,24,13
2019-04-12,069,Rest,0,34,10
2019-04-13,069,Rest,0,40,6
2019-04-14,069,Rest,0,47,7
2019-04-15,069,Rest,0,51,4
2019-04-16,069,Rest,0,56,5
2019-04-09,070,GFT,0,2,2
2019-04-10,070,GFT,0,10,8
2019-04-11,070,GFT,0,17,7
2019-04-12,070,GFT,0,26,9
2019-04-13,070,GFT,0,35,9
2019-04-14,070,GFT,1,43,8
2019-04-15,070,GFT,0,49,6
2019-04-16,070,GFT,0,61,12
2019-04-09,071,Rest,0,15,15
2019-04-10,071,Rest,0,23,8
2019-04-11,071,Rest,0,30,7
2019-04-12,071,Rest,0,43,13
2019-04-13,071,Rest,0,53,10
2019-04-14,071,Rest,0,63,10
2019-04-15,071,Rest,0,72,9
2019-04-16,071,Rest,0,87,15
2019-04-09,072,Rest,0,3,3
2019-04-10,072,Rest,1,12,9
2019-04-11,072,Rest,0,18,6
2019-04-12,072,Rest,0,28,10
2019-04-13,072,Rest,0,34,6
2019-04-14,072,Rest,0,44,10
2019-04-15,072,Rest,0,51,7
2019-04-16,072,Rest,0,64,13
2019-04-09,073,PMD,0,3,3
2019-04-10,073,PMD,0,7,4
2019-04-11,073,PMD,1,15,8
2019-04-12,073,PMD,0,19,4
2019-04-13,073,PMD,0,27,8
2019-04-14,073,PMD,0,32,5
2019-04-15,073,PMD,0,39,7
2019-04-16,073,PMD,0,50,11
2019-04-09,074,Papier,0,7,7
2019-04-10,074,Papier,0,12,5
2019-04-11,074,Papier,0,15,3
2019-04-12,074,Papier,0,27,12
2019-04-13,074,Papier,0,33,6
2019-04-14,074,Papier,0,43,10
2019-04-15,074,Papier,0,51,8
2019-04-16,074,Papier,0,60,9
2019-04-09,075,GFT,0,12,12
2019-04-10,075,GFT,0,27,15
2019-04-11,075,GFT,0,43,16
2019-04-12,075,GFT,0,61,18
2019-04-13,075,GFT,0,72,11
2019-04-14,075,GFT,1,84,12
2019-04-15,075,GFT,0,101,17
2019-04-16,075,GFT,0,112,11
2019-04-09,076,Papier,0,15,15
2019-04-10,076,Papier,0,29,14
2019-04-11,076,Papier,0,41,12
2019-04-12,076,Papier,0,54,13
2019-04-13,076,Papier,0,63,9
2019-04-14,076,Papier,1,70,7
2019-04-15,076,Papier,0,80,10
2019-04-16,076,Papier,0,91,11
2019-04-09,077,Rest,0,13,13
2019-04-10,077,Rest,0,20,7
2019-04-11,077,Rest,0,32,12
2019-04-12,077,Rest,0,47,15
2019-04-13,077,Rest,0,63,16
2019-04-14,077,Rest,0,67,4
2019-04-15,077,Rest,1,87,20
2019-04-16,077,Rest,0,104,17
2019-04-09,078,Rest,0,5,5
2019-04-10,078,Rest,0,13,8
2019-04-11,078,Rest,0,22,9
2019-04-12,078,Rest,0,34,12
2019-04-13,078,Rest,0,46,12
2019-04-14,078,Rest,0,62,16
2019-04-15,078,Rest,1,74,12
2019-04-16,078,Rest,0,84,10
2019-04-09,079,PMD,1,10,10
2019-04-10,079,PMD,0,20,10
2019-04-11,079,PMD,0,27,7
2019-04-12,079,PMD,0,36,9
2019-04-13,079,PMD,0,46,10
2019-04-14,079,PMD,0,54,8
2019-04-15,079,PMD,0,66,12
2019-04-16,079,PMD,0,73,7
2019-04-09,080,Papier,0,4,4
2019-04-10,080,Papier,0,11,7
2019-04-11,080,Papier,1,19,8
2019-04-12,080,Papier,0,22,3
2019-04-13,080,Papier,0,25,3
2019-04-14,080,Papier,0,34,9
2019-04-15,080,Papier,0,36,2
2019-04-16,080,Papier,0,41,5
2019-04-09,081,PMD,0,7,7
2019-04-10,081,PMD,0,10,3
2019-04-11,081,PMD,0,15,5
2019-04-12,081,PMD,0,20,5
2019-04-13,081,PMD,0,24,4
2019-04-14,081,PMD,0,35,11
2019-04-15,081,PMD,0,38,3
2019-04-16,081,PMD,0,41,3
2019-04-09,082,GFT,0,7,7
2019-04-10,082,GFT,1,14,7
2019-04-11,082,GFT,1,23,9
2019-04-12,082,GFT,0,29,7
2019-04-12,082,GFT,0,1,7
2019-04-13,082,GFT,0,38,9
2019-04-14,082,GFT,0,41,3
2019-04-15,082,GFT,0,46,5
2019-04-16,082,GFT,0,50,4
2019-04-09,083,Rest,0,5,5
2019-04-10,083,Rest,0,10,5
2019-04-11,083,Rest,0,18,8
2019-04-12,083,Rest,0,27,9
2019-04-13,083,Rest,0,31,4
2019-04-14,083,Rest,0,39,8
2019-04-15,083,Rest,0,45,6
2019-04-16,083,Rest,0,57,12
2019-04-09,084,Rest,0,9,9
2019-04-10,084,Rest,0,10,1
2019-04-11,084,Rest,0,12,2
2019-04-12,084,Rest,0,17,5
2019-04-13,084,Rest,0,21,4
2019-04-14,084,Rest,0,25,4
2019-04-15,084,Rest,0,28,3
2019-04-16,084,Rest,0,31,3
2019-04-09,086,PMD,0,2,2
2019-04-10,086,PMD,0,3,1
2019-04-12,086,PMD,0,4,1
2019-04-13,086,PMD,0,8,4
2019-04-14,086,PMD,0,11,3
2019-04-15,086,PMD,0,13,2
2019-04-16,086,PMD,0,16,3
2019-04-09,087,Papier,0,8,8
2019-04-10,087,Papier,0,18,10
2019-04-11,087,Papier,0,25,7
2019-04-12,087,Papier,0,35,10
2019-04-13,087,Papier,0,41,6
2019-04-14,087,Papier,0,49,8
2019-04-15,087,Papier,0,55,6
2019-04-16,087,Papier,0,61,6
2019-04-09,088,Rest,0,4,4
2019-04-10,088,Rest,0,9,5
2019-04-11,088,Rest,0,13,4
2019-04-12,088,Rest,0,15,2
2019-04-13,088,Rest,1,21,6
2019-04-14,088,Rest,0,24,3
2019-04-15,088,Rest,0,29,5
2019-04-16,088,Rest,0,30,1
2019-04-09,089,Rest,0,4,4
2019-04-10,089,Rest,0,5,1
2019-04-11,089,Rest,0,6,1
2019-04-12,089,Rest,0,10,4
2019-04-13,089,Rest,0,11,1
2019-04-14,089,Rest,0,15,4
2019-04-15,089,Rest,0,21,6
2019-04-16,089,Rest,0,27,6
2019-04-09,090,Rest,0,5,5
2019-04-10,090,Rest,0,14,9
2019-04-11,090,Rest,1,19,5
2019-04-12,090,Rest,0,24,5
2019-04-13,090,Rest,0,26,2
2019-04-14,090,Rest,0,28,2
2019-04-15,090,Rest,0,31,3
2019-04-16,090,Rest,0,37,6
2019-04-09,091,GFT,0,4,4
2019-04-10,091,GFT,0,12,8
2019-04-11,091,GFT,0,20,8
2019-04-12,091,GFT,0,24,4
2019-04-13,091,GFT,0,32,8
2019-04-14,091,GFT,0,41,9
2019-04-15,091,GFT,0,48,7
2019-04-16,091,GFT,0,56,8
2019-04-09,093,Rest,0,3,3
2019-04-10,093,Rest,0,4,1
2019-04-11,093,Rest,1,11,7
2019-04-12,093,Rest,0,16,5
2019-04-13,093,Rest,0,20,4
2019-04-14,093,Rest,0,25,5
2019-04-15,093,Rest,0,30,5
2019-04-16,093,Rest,0,37,7
2019-04-09,094,Rest,0,7,7
2019-04-10,094,Rest,1,15,8
2019-04-11,094,Rest,0,28,13
2019-04-12,094,Rest,0,31,3
2019-04-13,094,Rest,0,37,6
2019-04-14,094,Rest,0,41,4
2019-04-15,094,Rest,0,42,1
2019-04-16,094,Rest,0,53,11
2019-04-09,096,PMD,0,3,3
2019-04-10,096,PMD,0,7,4
2019-04-11,096,PMD,0,11,4
2019-04-12,096,PMD,0,13,2
2019-04-13,096,PMD,0,17,4
2019-04-14,096,PMD,0,21,4
2019-04-15,096,PMD,0,23,2
2019-04-16,096,PMD,0,32,9
2019-04-09,097,Papier,0,2,2
2019-04-10,097,Papier,0,6,4
2019-04-11,097,Papier,0,11,5
2019-04-12,097,Papier,0,13,2
2019-04-13,097,Papier,0,17,4
2019-04-14,097,Papier,0,19,2
2019-04-15,097,Papier,0,21,2
2019-04-16,097,Papier,0,25,4
2019-04-09,098,Papier,0,2,2
2019-04-10,098,Papier,0,5,3
2019-04-13,098,Papier,0,9,4
2019-04-14,098,Papier,0,12,3
2019-04-15,098,Papier,0,18,6
2019-04-16,098,Papier,0,20,2
2019-04-09,099,GFT,0,6,6
2019-04-10,099,GFT,0,13,7
2019-04-11,099,GFT,0,24,11
2019-04-12,099,GFT,0,30,6
2019-04-13,099,GFT,0,36,6
2019-04-14,099,GFT,0,41,5
2019-04-15,099,GFT,0,54,13
2019-04-16,099,GFT,0,61,7
2019-04-09,100,GFT,1,1,1
2019-04-10,100,GFT,0,6,7
2019-04-10,100,GFT,0,2,7
2019-04-11,100,GFT,0,1,1
2019-04-12,100,GFT,0,3,2
2019-04-13,100,GFT,0,5,2
2019-04-14,100,GFT,1,7,2
2019-04-15,100,GFT,0,9,3
2019-04-15,100,GFT,0,3,3
2019-04-16,100,GFT,0,9,6
2019-04-09,101,Rest,0,3,3
2019-04-10,101,Rest,0,5,2
2019-04-11,101,Rest,0,7,2
2019-04-12,101,Rest,0,9,2
2019-04-14,101,Rest,0,10,1
2019-04-11,102,PMD,0,1,1
2019-04-12,102,PMD,0,2,1
2019-04-14,103,Rest,0,4,4
2019-04-16,103,Rest,0,5,1
2019-04-10,104,Papier,0,3,3
2019-04-11,104,Papier,0,4,1
2019-04-12,104,Papier,0,5,1
2019-04-13,104,Papier,0,6,1
2019-04-15,104,Papier,0,7,1
2019-04-16,104,Papier,0,12,5
2019-04-09,105,Rest,0,2,2
